  DATE,team,transect,catNum,catSpecies,treeSpecies,collected?,notes,captureWeight,captureWeightDay,newHost,changeID,geInitialWeight,geFinalWeight,geFrassWeight,Late,fate,fateDate,
530,MLDR,301,1001,ORTHRU,MALFL,Y,,0.1207,1,ROSMU,,,,,,T,602,
530,MLDR,301,1002,HYPAUN,MALFL,N,Overwinter,,,CRAXX,PALEVE,,,,,,,
530,MLDR,301,1003,HYPAUN,MALFL,N,Overwinter,,,AMEXX,PALEVE,,,,,,,
530,MLDR,301,1004,HYPAUN,MALFL,Y,T,0.0296,1,MALFL,PALEVE,0.0264,,,,T,606,
530,MLDR,301,1005,HYPAUN,MALFL,Y,,0.0276,1,CRAXX,PALEVE,0.0295,0.0483,0.0185,,D,614,
530,MLDR,301,1006,HYPAUN,MALFL,Y,PP606,0.0338,1,MALPR,PALEVE,0.0519,,,,P,609,
530,MLDR,301,1007,HYPAUN,MALFL,Y,"PP 606, P 607, TOID EMERGED FROM PUPA",0.0614,1,PRUSE,PALEVE,0.0827,,,,T,,
530,MLDR,301,1008,EUPSXX,MALFL,N,,,,NA,,,,,,,,
530,MLDR,301,1009,ORTHRU,MALFL,Y,,0.3254,1,MALFL,,0.2499,,,,D,610,
530,MLDR,301,1010,MALADI,MALFL,N,,,,NA,,,,,,,,
530,MLDR,301,1011,EUPSXX,MALFL,N,,,,NA,,,,,,,,
530,MLDR,301,1012,NOCTXX,MALFL,Y,,0.0196,1,NA,,,,,,D,610,
530,MLDR,301,1013,HYPAUN,MALFL,N,,,,MALPR,PALEVE,,,,,,,
530,MLDR,301,1014,HYPAUN,MALFL,Y,TOIDED,0.0104,1,AMEXX,PALEVE,,,,,T,601,
530,MLDR,301,1015,HYPAUN,MALFL,Y,,0.0316,1,AMEXX,PALEVE,0.0299,0.021,0.0173,,D,614,
530,MLDR,301,1016,HYPAUN,MALFL,Y,,0.0384,1,MALFL,PALEVE,0.0533,0.0458,0.0355,,D,614,
530,MLDR,301,1017,HYPAUN,MALFL,Y,TOIDED,0.0288,1,CRAXX,PALEVE,0.0308,,,,T,606,
530,MLDR,301,1018,HYPAUN,MALFL,Y,IN A BAD WAY ACTUALLY NOT THAT BAD SILK ON LEAF,0.0117,1,CRAXX,PALEVE,0.0109,,,,T,606,
530,MLDR,301,1019,HYPAUN,MALFL,Y,PP606,0.0837,1,MALFL,PALEVE,0.0897,,,,P,607,
530,MLDR,301,1020,HYPAUN,MALFL,Y,PP606,0.0545,1,AMEXX,PALEVE,0.0724,,,,P,608,
530,MLDR,301,1021,HYPAUN,MALFL,Y,MAYBE TOID,0.0333,1,AMEXX,PALEVE,0.0301,,,,T,606,
530,MLDR,301,1022,HYPAUN,MALFL,Y,,0.0331,1,CRAXX,PALEVE,0.0424,0.0545,0.0711,,P,614,
530,MLDR,301,1023,ZALEXX,MALFL,Y,"VERY COOL, MB",0.1372,1,CRAXX,CATOUL,0.2349,,,,P,616,
530,MLDR,301,1024,MELACA,MALFL,N,DOA,,,NA,,,,,,,,
530,MLDR,301,1025,HYPAUN,MALFL,Y,,0.0301,1,MALFL,PALEVE,0.0233,0.0786,0.1188,,P,614,
530,MLDR,301,1026,HYPAUN,MALFL,Y,,0.0283,1,MALFL,PALEVE,0.03,,,,T,606,
530,MLDR,301,1027,HYPAUN,MALFL,Y,PP606,0.0815,1,AMEXX,PALEVE,0.0909,,,,P,607,
530,MLDR,301,1028,HYPAUN,MALFL,Y,DYING 531,0.0324,1,MALFL,PALEVE,0.0366,,,,P,,
530,MLDR,301,1029,PHIGST,MALFL,N,,,,NA,,,,,,,,
530,MLDR,301,1030,HYPAUN,MALFL,Y,,0.0333,1,MALPR,,0.0375,0.078,0.1064,,D,614,
530,MLDR,301,1031,CROCNO,ROSMU,Y,,0.0092,1,NA,,,,,,D,613,
530,MLDR,301,1032,CROCNO,BERTH,Y,PP 704,0.0101,1,NA,,,,,,P,815,
530,MLDR,301,1033,ORTHRU,MALFL,Y,,0.2303,1,MALFL,,0.3862,,,,PP,609,
530,MLDR,301,1034,HYPAUN,MALFL,Y,TOIDED,0.0144,1,MALFL,PALEVE,,,,,T,602,
530,MLDR,301,1035,HYPAUN,MALFL,Y,IN BUTTERFLY NET PP606,0.037,1,MALFL,PALEVE,0.0516,,,,P,609,
530,MLDR,301,1036,HYPAUN,MALFL,Y,,0.0352,1,MALFL,PALEVE,0.0473,,,,P,,
530,MLDR,301,1037,LITHXX,MALFL,N,,,,NA,,,,,,,,
530,MLDR,301,1038,NEMARE,MALFL,N,,,,NA,,,,,,,,
530,MLDR,301,1039,PHIGST,MALFL,N,,,,NA,,,,,,,,
530,MLDR,301,1040,ORTHRU,MALFL,Y,"Transitioned instar in vial, most likely underweight",0.0499,1,PRUSE,,0.0605,,,,T,607,
530,MLDR,301,1041,HYPAUN,MALFL,Y,,0.0255,1,CRAXX,PALEVE,0.0182,,,,T,606,
530,MLDR,301,1042,HYPAUN,MALFL,Y,,0.1237,1,MALFL,PALEVE,0.1193,,,,P,606,
530,MLDR,301,1043,ORTHRU,MALFL,Y,,0.0561,1,ROSMU,HIMEFI,0.0389,,,,D,613,
530,MLDR,301,1044,HYPAUN,MALFL,Y,,0.0249,1,MALFL,PALEVE,0.025,,,,T,606,
530,MLDR,301,1045,ORTHRU,CELOR,Y,TOIDED,0.1733,1,NA,,,,,,D,617,
530,MLDR,301,1046,HYPAUN,CELOR,Y,,0.0886,1,NA,PALEVE,,,,,D,610,
530,MLDR,301,1047,ORTHRU,CELOR,Y,,0.1528,1,NA,,,,,,D,609,
530,MLDR,301,1048,HYPAUN,CELOR,Y,,0.0159,1,NA,PALEVE,,,,,D,606,
530,MLDR,301,1049,HYPAUN,MALFL,Y,DEAD BY FUNGUS,0.0535,1,AMEXX,PALEVE,0.0386,,,,D,606,
530,MLDR,301,1050,ORTHRU,MALFL,Y,TOIDED,0.061,1,PRUSE,,,,,,T,602,
530,MLDR,301,1051,MESORU,MALFL,Y,PP 616,0.0225,1,NA,,,,,,PP,616,
530,MLDR,301,1052,HYPAUN,MALFL,Y,NOT NOT HYPAUN,0.0624,1,MALFL,,,,,,PP,610,
530,MLDR,302,1053,HYPAUN,CRAXX,Y,,0.0166,1,MALFL,PALEVE,0.0111,,,,T,606,
530,MLDR,302,1054,ZALEXX,CRAXX,Y,,0.0799,1,NA,,,,,,T,603,
530,MLDR,302,1055,HYPAUN,CRAXX,Y,"PP 607, T",0.0511,1,PRUSE,PALEVE,0.0849,,,,PP,607,
530,MLDR,302,1056,HYPAUN,CRAXX,Y,PP607,0.0395,1,PRUSE,PALEVE,0.0669,,,,P,607,
530,MLDR,302,1057,HYPAUN,PRUSE,Y,PP 607,0.0454,1,MALPR,PALEVE,0.0796,,,,P,609,
530,MLDR,302,1058,HYPAUN,PRUSE,Y,DEAD BY FUNGUS,0.0179,1,CRAXX,PALEVE,0.0296,,,,D,606,
530,MLDR,302,1059,ORTHRU,PRUSE,Y,,0.016,1,PRUSE,,0.0329,,,,D,607,
530,MLDR,302,1060,ORTHRU,PRUSE,Y,,0.0322,1,AMEXX,,0.0607,0.0689,0.0797,,D,616,
530,MLDR,302,1061,AMPHPY,PRUSE,N,,,,NA,,,,,,,,
530,MLDR,302,1062,HYPAUN,CRAXX,Y,,0.0144,1,CRAXX,PALEVE,,,,,T,531,
530,MLDR,302,1063,HYPAUN,CRAXX,Y,"PARASITOID, Toid emerged before weighing, weighed with toid and dead caterpillar together",0.0103,1,CRAXX,PALEVE,,,,,T,530,
530,MLDR,302,1064,AMPHPY,CRAXX,N,,,,NA,,,,,,,,
530,MLDR,302,1065,MICROX,CRAXX,N,,,,NA,,,,,,,,
530,MLDR,302,1066,ORTHRU,CRAXX,Y,,0.2538,1,PRUSE,,0.2844,0.3733,0.1889,,PP,618,
530,MLDR,302,1067,EUPSXX,PRUSE,N,,,,NA,,,,,,,,
530,MLDR,302,1068,ZALEXX,CRAXX,Y,T,0.0693,1,NA, CATOUL,,,,,D,610,
,,,1069,,,N,,,,NA,,,,,,,,
,,,1070,,,N,,,,NA,,,,,,,,
,,,1071,,,N,,,,NA,,,,,,,,
,,,1072,,,N,,,,NA,,,,,,,,
,,,1073,,,N,,,,NA,,,,,,,,
,,,1074,,,N,,,,NA,,,,,,,,
531,MLDR,303,1075,LITHXX,AMEXX,N,,,,NA,,,,,,,,
531,MLDR,303,1076,AMPHPY,PRUSE,N,,,,NA,,,,,,,,
531,MLDR,303,1077,EUPSXX,AMEXX,N,,,,NA,,,,,,,,
531,MLDR,303,1078,ORTHRU,AMEXX,Y,BAD WAY,0.478,1,MALFL,,,,,,T,601,
531,MLDR,303,1079,IRIDEP,AMEXX,N,,,,NA,,,,,,,,
531,MLDR,303,1080,HYPAUN,AMEXX,Y,PP 606,0.0717,1,PRUSE,PALEVE,0.0712,,,,T,609,
531,MLDR,303,1081,HYPAUN,AMEXX,Y,PP 606,0.0775,1,CRAXX,PALEVE,0.0679,,,,P,607,
531,MLDR,303,1082,HYPAUN,AMEXX,Y,PP OR DYING 607,0.0551,1,AMEXX,PALEVE,0.0637,,,,PP,608,
531,MLDR,303,1083,HYPAUN,AMEXX,Y,PP 606,0.0765,1,AMEXX,PALEVE,0.0666,,,,P,607,
531,MLDR,303,1084,HYPAUN,AMEXX,Y,"T, P 606, TOID EMERGED FROM PUPA",0.1123,1,MALPR,PALEVE,0.0835,,,,T,,
531,MLDR,303,1085,HYPAUN,CRAXX,Y,,0.0822,1,MALFL,PALEVE,0.072,,,,T,606,
531,MLDR,303,1086,HYPAUN,AMEXX,Y,,0.1037,1,PRUSE,PALEVE,0.0753,,,,P,606,
531,MLDR,303,1087,PSEUCY,AMEXX,Y,,0.0015,1,NA,SCHIUN,,,,,D,603,
531,MLDR,303,1088,PSEUCY,AMEXX,Y,,0.0009,1,NA,SCHIUN,,,,,PP,711,
531,MLDR,303,1089,HYPAUN,AMEXX,Y,PP 606,0.0969,1,CRAXX,PALEVE,0.0798,,,,P,609,
531,MLDR,303,1090,HYPAUN,AMEXX,Y,,0.0654,1,MALFL,PALEVE,,,,,T,602,
531,MLDR,303,1091,HYPAUN,AMEXX,Y,TOID,0.0103,1,CRAXX,PALEVE,,,,,T,601,
531,MLDR,303,1092,HYPAUN,AMEXX,Y,PP 606,0.0877,1,MALFL,PALEVE,0.0667,,,,P,608,
531,MLDR,303,1093,HYPAUN,AMEXX,Y,PP 606,0.0889,1,MALFL,PALEVE,0.0779,,,,P,607,
531,MLDR,303,1094,HYPAUN,AMEXX,Y,,0.0637,1,MALFL,PALEVE,0.0577,,,,T,606,
531,MLDR,303,1095,HYPAUN,AMEXX,Y,PP 607,0.059,1,MALFL,PALEVE,0.0592,,,,PP,607,
531,MLDR,303,1096,HYPAUN,AMEXX,Y,,0.0236,1,PRUSE,PALEVE,,,,,T,601,
531,MLDR,303,1097,LITHXX,CRAXX,N,,,,NA,,,,,,,,
531,MLDR,303,1098,ORTHRU,CRAXX,Y,AMPHPY?,0.1967,1,PRUSE,,0.2091,,,,PP,610,
531,MLDR,303,1099,ORTHRU,AMEXX,Y,TOID,0.1214,1,MALFL,,0.0809,,,,T,606,
531,MLDR,303,1100,HYPAUN,PRUSE,Y,,0.0549,1,AMEXX,PALEVE,0.0527,0.0361,0.0335,,D,614,
