"catNum","catSpecies","treeSpecies","fate","photograph","issue"
"J2873","Y","ROSMU","D","","ReID was recorded as Y; what does it actually say?"
"K4532","Y","PRUSE","D","","ReID was recorded as Y; what does it actually say?"
"J2099","ACHADI","VIBLE","P","1","search SD card for photo or see if cup actually says photo"
"J2327","NEMARE","VIBDI","P","1","search SD card for photo or see if cup actually says photo"
"J2609","MESORU","RUBXX","P","1","search SD card for photo or see if cup actually says photo"
"J2616","MELACA","RUBXX","P","1","search SD card for photo or see if cup actually says photo"
"J2617","MELACA","RUBXX","P","1","search SD card for photo or see if cup actually says photo"
"J2754","MELACA","ROSMU","D","1","search SD card for photo or see if cup actually says photo"
"J2843","ECTRCR","ROSMU","P","1","search SD card for photo or see if cup actually says photo"
"J3450","MICROX","AMEXX","D","1","search SD card for photo or see if cup actually says photo"
"J3451","MICROX","AMEXX","MIA","1","search SD card for photo or see if cup actually says photo"
"K4322","LOMOVE","MALXX","P","1","search SD card for photo or see if cup actually says photo"
"K4624","PROTPO","BERTH","OW","1","search SD card for photo or see if cup actually says photo"
"K4627","PROCLI","ROSMU","P","1","search SD card for photo or see if cup actually says photo"
"K4726","GEOMXX","ROSMU","P","1","search SD card for photo or see if cup actually says photo"
"J2096","LITHXX","LITHXX","D","","what is the host species?"
"K4069","PROTPO","MELACA","OW","2","what is the host species?"
"J2017","MICROX","MICROX","P","","what is the host species?"
"J2265","MICROX","FRAAM","","","What is the fate?"
"J2276","ORTHRU","VIBDI","","","What is the fate?"
"J2439","EUPIXX","BERTH","","","What is the fate?"
"J2612","MICROX","VIBAC","","","What is the fate?"
"J2821","CORYME","PRUSE","","","What is the fate?"
"J3130","PROTPO","PRUSE","","","What is the fate?"
"J3554","NOCTXX","BERTH","","","What is the fate?"
"K4027","EUPIMI","VIBDI","","","What is the fate?"
"K4233","MELACA","MALXX","","","What is the fate?"
"K4234","MICROX","LONMO","","","What is the fate?"
"K4235","MICROX","VIBLE","","","What is the fate?"
"K4346","LOMOVE","PRUSE","","","What is the fate?"
"K4571","MICROX","PRUSE","","","What is the fate?"
"K4631","PSEUCY","ROSMU","","","What is the fate?"
"K4632","PSEUCY","ROSMU","","","What is the fate?"
"K5007","UNKNXX","ROSMU","","","What is the fate?"
"K5006","GEOMXX","ROSMU","D","","Any chance we can figure out what species this was?"
