sheet,date,recorder,collector,transect,treeSpecies,branchNum,catCount,catNumMin,catNumMax,lfCount,notes,data entry notes
1,601,SB,KD;PD,101,MALXX,1,2,J2001,J2002,70,,
,601,SB,KD;PD,101,BERTH,1,0,-,-,400,,
,601,SB,KD;PD,101,MALXX,1,1,J2003,J2003,30,,
,601,SB,KD;PD,101,AMELA,1,1,J2004,J2004,120,,
,601,SB,KD;PD,101,AMELA,2,0,-,-,70,,
,601,KD,PD;SB,102,MALXX,1,0,-,-,50,,
,601,KD,PD;SB,102,VIBAC,1,0,-,-,20,,
,601,KD,PD;SB,102,VIBAC,1,2,J2005,J2006,20,,
,601,KD,PD;SB,103,CRAXX,1,0,-,-,20,,
,601,KD,PD;SB,103,VIBAC,1,0,-,-,20,,
,601,KD,PD;SB,103,MALXX,1,2,J2007,J2008,30,,
,601,KD,PD;SB,103,FRAXX,1,0,-,-,2,,
,601,KD,PD;SB,103,VIBAC,1,0,-,-,20,,
,601,KD,PD;SB,103,MALXX,1,0,-,-,30,,
,601,KD,PD;SB,103,CRAXX,1,0,-,-,15,,
,601,KD,PD;SB,103,MALXX,1,1,J2009,J2009,250,,
,601,KD,PD;SB,103,PRUSE,1,0,-,-,20,,
,601,KD,PD;SB,103,MALXX,1,0,-,-,30,,
,601,KD,PD;SB,103,VIBAC,1,0,-,-,15,,
,601,KD,PD;SB,103,VIBAC,1,1,J2010,J2011,30,ONE MICROX,I think the numbering is off
,601,KD,PD;SB,103,CRAXX,1,0,-,-,40,,
,601,KD,PD;SB,103,MALXX,1,2,J2012,J2013,400,,
,601,KD,PD;SB,103,MALXX,2,2,J2014,J2015,100,,
,601,SB,KD;DR,104,VIBDI,1,0,-,-,100,,
,601,SB,KD;DR,104,VIBDI,2,0,-,-,140,,
,601,SB,KD;DR,104,VIBDI,3,0,-,-,370,,
,601,SB,KD;DR,104,VIBDI,1,0,-,-,140,,
,601,SB,KD;DR,104,VIBDI,1,0,-,-,260,,
,601,SB,KD;DR,104,VIBDI,2,1,J2016,J2016,240,,
,601,SB,KD;DR,104,VIBDI,1,0,-,-,80,,
,601,SB,KD;DR,104,VIBDI,1,0,-,-,130,,
,601,SB,KD;DR,104,VIBDI,1,0,-,-,400,,
,601,SB,KD;DR,104,VIBDI,1,1,J2017,J2017,220,,
2,601,RP,DR,101,MALXX,1,1,J2063,J2064,250,,
,601,RP,DR,101,MALXX,2,1,J2065,J2065,200,,
,601,RP,DR,101,BERTH,1,0,-,-,150,,
,601,RP,DR,101,MALXX,1,0,-,-,100,,
,601,RP,DR,101,MALXX,1,1,J2066,J2066,200,,
,601,RP,DR,101,EUOAL,2,0,-,-,20,,
,601,RP,DR,101,BERTH,1,0,-,-,150,,
,601,RP,DR,101,BERTH,1,0,-,-,100,,
,601,DR,RP,102,MALXX,1,0,-,-,250,,
,601,DR,RP,102,MALXX,2,3,J2067,J2069,50,,
,601,RP,DR,103,VIBAC,1,0,-,-,20,,
,601,RP,DR,103,VIBAC,1,0,-,-,25,,
,601,RP,DR,103,VIBAC,1,0,-,-,30,,
,601,RP,DR,103,VIBAC,1,0,-,-,15,,
,601,RP,DR,103,MALXX,1,1,J2071,J2071,25,,
,601,RP,DR,103,VIBAC,1,1,J2072,J2072,15,,
,601,RP,DR,103,MALXX,1,0,-,-,450,,
,601,RP,DR,103,MALXX,1,0,-,-,150,,
,601,RP,DR,103,MALXX,1,3,J2073,J2075,200,,
,601,RP,DR,103,VIBAC,1,0,-,-,30,,
,601,RP,DR,103,VIBAC,1,0,-,-,30,,
,601,RP,DR,103,VIBAC,1,0,-,-,25,,
,601,RP,DR,103,CRAXX,1,1,J2076,J2076,20,,
,601,PD,RP;AO,104,BERTH,1,0,-,-,250,,
,601,PD,RP;AO,104,BERTH,1,0,-,-,350,,
,601,PD,RP;AO,104,VIBDI,1,0,-,-,200,,
,601,PD,RP;AO,104,BERTH,1,0,-,-,400,,
,601,PD,RP;AO,104,BERTH,1,0,-,-,150,,
,601,PD,RP;AO,104,VIBDI,1,0,-,-,50,,
,601,PD,RP;AO,104,BERTH ,1,1,J2077,J2077,300,,
,601,PD,RP;AO,104,VIBDI,1,0,-,-,100,,
,601,PD,RP;AO,104,VIBDI,1,0,-,-,75,,
3,601,SB,PD;DR,104,VIBDI,1,0,-,-,100,,
,601,SB,PD;DR,104,BERTH,1,0,-,-,260,,
,601,SB,PD;DR,104,,,,,,,,
,602,PD,AO,104,CRAXX,1,1,J2032,J2032,50,,
,602,PD,AO,104,FRAXX,1,0,-,-,6,,
,602,PD,AO,104,BERTH,1,0,-,-,400,,
,602,PD,AO,104,MALXX,1,1,J2033,J2033,75,,
,602,PD,AO,104,PRUSE,1,0,-,-,10,,
,602,PD,AO,104,PRUSE,2,1,J2034,J2034,40,,
,602,PD,AO,104,FRAXX,1,0,-,-,12,,
,602,PD,AO,104,MALXX,1,0,-,-,25,,
,602,PD,AO,104,MALXX,1,3,J2035,J2037,150,,
,602,PD,AO,104,EUOAL,1,0,-,-,50,,
,602,PD,AO,104,EUOAL,2,0,-,-,150,,
,602,PD,AO,104,ROSMU,1,0,-,-,30,,
,602,PD,AO,104,ROSMU,2,0,-,-,25,,
,602,PD,AO,104,ROSMU,3,1,J2038,J2038,50,possibly from OSTVI above,
,602,PD,AO,104,ROSMU,4,0,-,-,30,,
,602,PD,AO,104,ROSMU,1,1,J2039,J2039,30,,
,602,PD,AO,104,MALXX,1,1,J2040,J2040,50,,
,602,PD,AO,104,ROSMU,1,1,J2041,J2041,20,,
,602,PD,AO,104,MALXX,1,0,-,-,35,,
,602,PD,AO,104,FRAXX,1,0,-,-,13,,
,602,PD,AO,104,MALXX,1,0,-,-,200,,
,602,PD,AO,104,MALXX,1,0,-,-,100,,
,602,PD,AO,104,ROSMU,1,1,J2042,J2042,75,,
,602,PD,AO,104,ROSMU,1,0,-,-,50,,
,602,PD,AO,104,ROSMU,1,0,-,-,30,,
,602,PD,AO,104,ROSMU,1,0,-,-,70,,
4,601,PD,AO;RP,104,BERTH,1,0,-,-,200,,
,601,PD,AO;RP,104,BERTH,1,0,-,-,150,,
,601,PD,AO;RP,104,BERTH,1,0,-,-,110,,
,601,PD,AO;RP,104,VIBDI,1,0,-,-,45,,
,601,PD,AO;RP,104,VIBDI,1,0,-,-,75,,
,601,PD,AO;RP,104,EUOAL,1,0,-,-,25,,
,601,PD,AO;RP,104,BERTH,1,0,-,-,250,,
,601,PD,AO;RP,104,BERTH,1,0,-,-,300,,
,601,PD,AO;RP,104,VIBDI,1,0,-,-,35,,
,601,PD,AO;RP,104,VIBDI,1,0,-,-,75,,
,602,GA,GM,105,VIBAC,1,0,-,-,20,,
,602,GA,GM,105,VIBAC,1,0,-,-,20,,
,602,GA,GM,105,VIBAC,1,0,-,-,30,,
,602,GA,GM,105,FRAXX,1,0,-,-,40,,
,602,GA,GM,105,VIBAC,1,0,-,-,30,,
,602,GA,GM,105,FRAXX,1,1,J2094,J2094,3,,
,602,GA,GM,105,LIGVU,1,0,-,-,100,,
,602,GA,GM,105,FRAXX,1,0,-,-,3,,
,602,GA,GM,105,MALXX,1,0,-,-,18,,
,602,GA,GM,105,BERTH,1,0,-,-,150,,
,602,GA,GM,105,ROSMU,1,0,-,-,200,,
,602,GA,GM,105,MALXX,1,1,J2095,J2095,450,,
,602,GA,GM,105,BERTH,1,0,-,-,140,,
,602,GA,GM;KD,105,MALXX,1,2,J2096,J2097,250,,
,602,GA,GM;KD,105,BERTH,1,0,-,-,100,,
,602,GA,GM;KD,105,VIBLE,1,2,J2098,J2099,300,Photograph J2099,
,602,GA,GM;KD,105,PRUSE,1,0,-,-,200,,
,602,GA,GM;KD,105,FRAAM,1,1,J2100,J2100,9,,
,602,GA,GM;KD,105,PRUSE,1,1,J2101,J2101,50,,
,602,GA,GM;KD,105,CRAXX,1,0,-,-,30,,
,602,GA,GM;KD,105,ROSMU,1,1,J2102,J2102,300,S photograph,
,602,GA,GM;KD,105,MALXX,2,0,-,-,800,,WAS THIS A 2
,602,GA,GM;KD,105,ROSMU,1,1,J2103,J2103,150,,
5,602,HW,RP,105,BERTH,1,1,J2125,J2125,400,,
,602,HW,RP,105,MALXX,1,2,J2126,J2127,170,,
,602,HW,RP,105,MALXX,2,2,J2128,J2129,60,,
,602,HW,RP,105,ROSMU,1,0,-,-,120,,
,602,HW,RP,105,MALXX,1,3,J2130,J2132,300,,
,602,HW,RP,105,MALXX,1,2,J2133,J2134,200,,
,602,HW,RP,105,ROSMU,1,3,J2135,J2137,400,,
,602,HW,RP,105,RUBXX,1,1,J2138,J2138,60,,
,602,HW,RP,105,RUBXX,1,0,-,-,80,,
,602,HW,RP,105,RUBXX,1,0,-,-,80,,
,602,HW,RP,105,LIGVU,1,1,J2139,J2139,350,,
,602,HW,RP,105,LIGVU,1,0,-,-,350,,
,602,HW,RP,105,LIGVU,1,0,-,-,150,,
,602,HW,RP,105,LONMO,1,0,-,-,40,,
,602,HW,RP,105,MALXX,1,1,J2140,J2140,60,,
6,603,GA,KD;RG,108,BERTH,1,1,J2187,J2187,1000,,
,603,GA,KD;RG,108,BERTH,1,0,-,-,1000,,
,603,GA,KD;RG,108,BERTH,1,0,-,-,700,,
,603,GA,KD;RG,108,BERTH,1,0,-,-,1011,,
,603,GA,KD;RG,108,BERTH,1,0,-,-,1005,,
,603,GA,KD;RG,108,BERTH,1,0,-,-,900,,
,603,GA,KD;RG,108,BERTH,1,0,-,-,1050,,
,603,GA,KD;RG,108,BERTH,1,0,-,-,200,,
