sheet,date,recorder,collector,transect,treeSpecies,branchNum,catCount,catNumMin,catNumMax,lfCount,notes,,data entry notes
1,601,SB,KD;PD,101,MALXX,1,2,J2001,J2002,70,,,
1,601,SB,KD;PD,101,BERTH,1,0,-,-,400,,,
1,601,SB,KD;PD,101,MALXX,1,1,J2003,J2003,30,,,
1,601,SB,KD;PD,101,AMELA,1,1,J2004,J2004,120,,,
1,601,SB,KD;PD,101,AMELA,2,0,-,-,70,,,
1,601,SB,KD;PD,102,MALXX,1,0,-,-,50,,,
1,601,SB,KD;PD,102,VIBAC,1,0,-,-,20,,,
1,601,SB,KD;PD,102,VIBAC,1,2,J2005,J2006,30,,,
1,601,SB,KD;PD,103,CRAXX,1,0,-,-,20,,,
1,601,SB,KD;PD,103,VIBAC,1,0,-,-,20,,,
1,601,SB,KD;PD,103,MALXX,1,2,J2007,J2008,30,,,
1,601,SB,KD;PD,103,FRAXX,1,0,-,-,2,,,
1,601,SB,KD;PD,103,VIBAC,1,1,-,-,20,,,
1,601,SB,KD;PD,103,MALXX,1,0,-,-,30,,,
1,601,SB,KD;PD,103,CRAXX,1,0,-,-,15,,,
1,601,SB,KD;PD,103,MALXX,1,0,J2009,J2009,250,,,
1,601,SB,KD;PD,103,PRUSE,1,0,-,-,20,,,
1,601,SB,KD;PD,103,MALXX,1,0,-,-,30,,,
1,601,SB,KD;PD,103,VIBAC,1,0,-,-,15,,,
1,601,SB,KD;PD,103,VIBAC,1,1,J2010,J2011,30,MICRO,,
1,601,SB,KD;PD,103,CRAXX,1,1,-,-,40,,,
1,601,SB,KD;PD,103,MALXX,1,2,J2012,J2013,400,,,
1,601,SB,KD;PD,103,MALXX,2,2,J2014,J2015,100,,,
1,601,SB,KD;PD,104,VIBDI,1,0,-,-,100,,,
1,601,SB,KD;PD,104,VIBDI,2,0,-,-,140,,,
1,601,SB,KD;PD,104,VIBDI,3,0,-,-,370,,,
1,601,SB,KD;PD,104,VIBDI,1,0,-,-,140,,,
1,601,SB,KD;PD,104,VIBDI,1,0,-,-,260,,,
1,601,SB,KD;PD,104,VIBDI,2,1,J2016,J2016,240,,,
1,601,SB,KD;PD,104,VIBDI,1,0,-,-,80,,,
1,601,SB,KD;PD,104,VIBDI,1,0,-,-,10,,,
1,601,SB,KD;PD,104,VIBDI,1,0,-,-,400,,,
1,601,SB,KD;PD,104,VIBDI,1,1,J2017,J2017,220,,,
2,601,RP,DR,101,MALXX,1,1,J2063,J2064,250,,,
2,601,RP,DR,101,MALXX,2,1,J2065,J2065,200,,,
2,601,RP,DR,101,BERTH,1,0,-,-,150,,,
2,601,RP,DR,101,MALXX,1,0,-,-,100,,,
2,601,RP,DR,101,MALXX,2,1,J2066,J2066,200,,,
2,601,RP,DR,101,EUOAL,1,0,-,-,20,,,
2,601,RP,DR,101,BERTH,1,0,-,-,150,,,
2,601,RP,DR,101,BERTH,2,0,-,-,100,,,
2,601,DR,RP,102,MALXX,1,0,-,-,250,,,
2,601,DR,RP,102,MALXX,2,3,J2067,J2069,50,,,
2,601,RP,DR,103,FRAXX,1,1,J2070,J2070,3,"NOT ASH, NOT sampled",,
2,601,RP,DR,103,VIBAC,1,0,-,-,20,,,
2,601,RP,DR,103,VIBAC,1,0,,,25,,,
2,601,RP,DR,103,VIBAC,1,0,,,30,,,
2,601,RP,DR,103,VIBAC,1,0,,,15,,,
2,601,RP,DR,103,MALXX,1,1,J2071,J2071,25,,,
2,601,RP,DR,103,VIBAC,1,1,J2072,J2072,15,,,
2,601,RP,DR,103,MALXX,1,0,-,-,450,,,
2,601,RP,DR,103,MALXX,1,0,-,-,150,,,
2,601,RP,DR,103,MALXX,1,3,J2073,J2075,200,,,
2,601,RP,DR,103,VIBAC,1,0,-,-,30,,,
2,601,RP,DR,103,VIBAC,1,0,-,-,30,,,
2,601,RP,DR,103,VIBAC,1,0,-,-,25,,,
2,601,RP,DR,103,CRAXX,1,1,J2076,J2076,20,,,
2,601,PD,RP;AO,104,BERTH,1,0,-,-,250,,,
2,601,PD,RP;AO,104,BERTH,1,0,-,-,350,,,
2,601,PD,RP;AO,104,VIBDI,1,0,-,-,200,,,
2,601,PD,RP;AO,104,BERTH,1,0,-,-,400,,,
2,601,PD,RP;AO,104,BERTH,1,0,-,-,150,,,
2,601,PD,RP;AO,104,VIBDI,1,0,-,-,50,,,
