date,recorder,identifier,catNum,catSpecies,treeSpecies,"
notes",fate,fateDate,changeID,frass,emerged,photograph,rearingNotes,barcode,recorded in first wave
601,SB,SB;KD;PD,J2001,LITHXX,MALXX,,d,627,,607,,,,,Y
601,SB,SB;KD;PD,J2002,MELACA,MALXX,,D,607,,Y,,,,728,Y
601,SB,SB;KD;PD,J2003,NOCTXX,MALXX,,dead,614,,607,,,,727,Y
601,SB,SB;KD;PD,J2004,LITHXX,AMELA,,dead,630,,609,,,,,Y
601,KD,SB;PD,J2005,OTHRXX,VIBAC,,dead,611,ORTHRU,N,,,,728,Y
601,KD,SB;PD,J2006,LAMBFI,VIBAC,,dead,607,,N,,,,,Y
601,KD,SB;PD,J2007,LITHXX,MALXX,,dead,609,,Y,,,,,Y
601,KD,SB;PD,J2008,EUPSXX,MALXX,,dead,618,,607,,,,,Y
601,KD,SB;PD,J2009,ORTHRU,MALXX,,P,617,,Y,,,,,Y
601,KD,SB;PD,J2010,ORTHXX,VIBAC,,PP,622,,Y,,,FAILED PUPATION,,Y
601,KD,SB;PD,J2011,MICROX,VIBAC,,P,607,,,622,,,,Y
601,KD,SB;PD,J2012,LITHXX,MALXX,,D,613,,Y,,,,,Y
601,KD,SB;PD,J2013,LITHXX,MALXX,,D,610,,N,,,MAY HAVE HAD FRASS BEFORE BUT MAYBE NOT,,Y
601,KD,SB;PD,J2014,LITHXX,MALXX,,D,609,,Y,,,,,Y
601,KD,SB;PD,J2015,LAMBFI,MALXX,,d,607,,y,,,,,Y
601,KD,SB;PD,J2016,EUPSXX,VIBDI,,d,618,,607,,,,,Y
601,KD,SB;PD,J2017,MICROX,MICROX,,p,607,,,,,,,Y
,,,J2018,,,,,,,,,,,,
,,,J2019,,,,,,,,,,,,
,,,J2020,,,,,,,,,,,,
,,,J2021,,,,,,,,,,,,
,,,J2022,,,,,,,,,,,,
,,,J2023,,,,,,,,,,,,
,,,J2024,,,,,,,,,,,,
,,,J2025,,,,,,,,,,,,
,,,J2026,,,,,,,,,,,,
,,,J2027,,,,,,,,,,,,
,,,J2028,,,,,,,,,,,,
,,,J2029,,,,,,,,,,,,
,,,J2030,,,,,,,,,,,,
,,,J2031,,,,,,,,,,,,
602,PD,AO;PD,J2032,EUPSXX,CRAXX,,D,613,,,,,MAYBE TOIDED BUT NOT,,Y
602,PD,AO;PD,J2033,ENNOSU,MALXX,,p,630,,609,y,,,,Y
602,PD,AO;PD,J2034,LITHXX,PRUSE,,P,819,,609,118,,LPP 623,,Y
602,PD,AO;PD,J2035,LITHXX,MALXX,,LPP,607,,N,,,FAILED PP 819,,Y
602,PD,AO;PD,J2036,CROCNO,MALXX,,dead,609,,n,,,,,Y
602,PD,AO;PD,J2037,CROCNO,MALXX,,dead,616,,,,,,,Y
602,PD,AO;PD,J2038,MICROX,ROSNU,,P,715,,,,,,,Y
602,PD,AO;PD,J2039,MICROX,ROSNU,,P,614,,607,702,,,,Y
602,PD,AO;PD,J2040,ENNOSU,MALXX,,P,609,,Y,,,,,Y
602,PD,AO;PD,J2041,NEMARE,ROSNU,,P,613,,607,Y,,,,Y
602,PD,AO;PD,J2042,MICROX,ROSNU,,T,622,,N,622,,TOIDED BEFORE 622; PP607,,Y
,,,J2043,,,,,,,,,,,,
,,,J2044,,,,,,,,,,,,
,,,J2045,,,,,,,,,,,,
,,,J2046,,,,,,,,,,,,
,,,J2047,,,,,,,,,,,,
,,,J2048,,,,,,,,,,,,
,,,J2049,,,,,,,,,,,,
,,,J2050,,,,,,,,,,,,
,,,J2051,,,,,,,,,,,,
,,,J2052,,,,,,,,,,,,
,,,J2053,,,,,,,,,,,,
,,,J2054,,,,,,,,,,,,
,,,J2055,,,,,,,,,,,,
,,,J2056,,,,,,,,,,,,
,,,J2057,,,,,,,,,,,,
,,,J2058,,,,,,,,,,,,
,,,J2059,,,,,,,,,,,,
,,,J2060,,,,,,,,,,,,
,,,J2061,,,,,,,,,,,,
,,,J2062,,,,,,,,,,,,
601,RP,DR,J2063,LYMADI,MALXX,,p,706,,609,728,,,,Y
601,RP,DR,J2064,IRIDEP,MALXX,ID UNSURE,d,609,,609,,,,,Y
601,RP,DR,J2065,NOCTXX,MALXX,,D,607,LITHXX,y,,,unsure re-id,,Y
601,RP,DR,J2066,LITHXX,MALXX,,dead,616,,607,,,,,Y
601,RP,DR,J2067,IRIDEP,MALXX,,dead,610,NOT IRIDEP,y,,1,may be same as j2509; photographed,,Y
601,RP,DR,J2068,ORTHRU,MALXX,,D,603,,708,,,,728,Y
601,RP,DR,J2069,LITHXX,MALXX,,d,627,,604,,,,,Y
601,RP,DR,J2070,ORTHRU,FRAXX,NOT ASH; IN REARING ROOM,P,624,,608,,,host was sasparilla not ash; caterpillar was collected and fed VIBDI or anything,,Y
601,RP,DR,J2071,LITHXX,MALXX,,d,621,,607,,,,,Y
601,RP,DR,J2072,MICROX,VIBAC,,T,702,,,702,,P610,,Y
601,RP,DR,J2073,ORTHRU,MALXX,,D,614,,608,,,,728,Y
601,RP,DR,J2074,ORTHXX,MALXX,,P,622,,Y,,,,,Y
601,RP,DR,J2075,LITHXX,MALXX,,d,618,,616,,,,,Y
601,RP,DR,J2076,ORTHXX,CRAXX,,p,819,,609,,,,,Y
601,RP,DR,J2077,CORYME,BERTH,,d,607,,n,,,,,Y
,,,J2078,,,,,,,,,,,,
,,,J2079,,,,,,,,,,,,
,,,J2080,,,,,,,,,,,,
,,,J2081,,,,,,,,,,,,
,,,J2082,,,,,,,,,,,,
,,,J2083,,,,,,,,,,,,
,,,J2084,,,,,,,,,,,,
,,,J2085,,,,,,,,,,,,
,,,J2086,,,,,,,,,,,,
,,,J2087,,,,,,,,,,,,
,,,J2088,,,,,,,,,,,,
,,,J2089,,,,,,,,,,,,
,,,J2090,,,,,,,,,,,,
,,,J2091,,,,,,,,,,,,
,,,J2092,,,,,,,,,,,,
,,,J2093,,,,,,,,,,,,
602,GA,GM; KD,J2094,MICROX,FRAXX,,d,706,,608,,,,,Y
602,GA,GM; KD,J2095,CROCNO,MALXX,,P,802,,Y,,,,,Y
602,GA,GM; KD,J2096,LITHXX,LITHXX,,D,609,,Y,,,,,Y
602,GA,GM; KD,J2097,LITHXX,MALXX,,d,623,,607,,,,,Y
602,GA,GM; KD,J2098,MICROX,VIBLE,,p,614,,607,622,,,,Y
602,GA,GM; KD,J2099,ACHADI,VIBLE,PHOTOGRAPH,P,622,,Y,,1,,,Y
602,GA,GM; KD,J2100,NEMARE,FRAAM,,P,622,,607,708,,,,Y
602,GA,GM; KD,J2101,MICROX,PRUSE,PHOTOGRAPH,P,607,,,620,,,,Y
602,GA,GM; KD,J2102,ACHADI,ROSMU,PHOTOGRAPH,P,613,,,,1,P DATE IS PP DATE,,Y
602,GA,GM; KD,J2103,EUPIXX,LIGVU,PHOTOGRAPH,P,618,,Y,,1,,,Y
602,GA,GM; KD,J2104,LITHXX,ROSMU,,P,819,,607,118,,LPP 707,,Y
,,,J2105,,,,,,,,,,,,
,,,J2106,,,,,,,,,,,,
,,,J2107,,,,,,,,,,,,
,,,J2108,,,,,,,,,,,,
,,,J2109,,,,,,,,,,,,
,,,J2110,,,,,,,,,,,,
,,,J2111,,,,,,,,,,,,
,,,J2112,,,,,,,,,,,,
,,,J2113,,,,,,,,,,,,
,,,J2114,,,,,,,,,,,,
,,,J2115,,,,,,,,,,,,
,,,J2116,,,,,,,,,,,,
,,,J2117,,,,,,,,,,,,
,,,J2118,,,,,,,,,,,,
,,,J2119,,,,,,,,,,,,
,,,J2120,,,,,,,,,,,,
,,,J2121,,,,,,,,,,,,
,,,J2122,,,,,,,,,,,,
,,,J2123,,,,,,,,,,,,
,,,J2124,,,,,,,,,,,,
602,HW,ML,J2125,EUPSXX,BERTH,,dead,627,,607,,,,,Y
602,HW,RP,J2126,LITHXX,MALXX,,dead,718,,610,,,,,Y
602,HW,ML,J2127,ENNOSU,MALXX,,dead,611,,609,,,vomit,,Y
602,HW,RP,J2128,NEMARE,MALXX,,dead,607,,607,,,,,Y
602,HW,RP,J2129,MICROX,MALXX,,P,607,,,Y,,,,Y
602,HW,ML,J2130,ENNOSU,MALXX,,T,613,,,,,,,Y
602,HW,ML,J2131,EUPIXX,MALXX,,d,607,,607,,,,,Y
602,HW,RP,J2132,NOCTXX,MALXX,,d,623,lithxx,y,,,re-id unsure,,Y
602,HW,RP,J2133,ENNOSU,MALXX,,D,607,,,,,,,Y
602,HW,ML,J2134,ZALEXX,MALXX,,D,621,CROCNO,,,,,,Y
602,HW,RP,J2135,ORTHXX,ROSMU,,P,702,,Y,,,,,Y
602,HW,ML,J2136,EUPSXX,ROSMU,,LPP,Y,,613,,,LPP FAILED 819; LPP DATE UNKN,,Y
602,HW,ML,J2137,CROCNO,ROSMU,,T,714,,609,,,PP ON 714 AS WELL,,Y
602,HW,RP,J2138,EUPSXX,RUBXX,,T,608,,614,,,,,Y
602,HW,ML,J2139,GEOMXX,LIGVU,,D,604,,,,1,,,Y
602,HW,RP,J2140,MICROX,MALXX,,pp,609,,,,,failed pupation 622,,Y
,,,J2141,,,,,,,,,,,,
,,,J2142,,,,,,,,,,,,
,,,J2143,,,,,,,,,,,,
,,,J2144,,,,,,,,,,,,
,,,J2145,,,,,,,,,,,,
,,,J2146,,,,,,,,,,,,
,,,J2147,,,,,,,,,,,,
,,,J2148,,,,,,,,,,,,
,,,J2149,,,,,,,,,,,,
,,,J2150,,,,,,,,,,,,
,,,J2151,,,,,,,,,,,,
,,,J2152,,,,,,,,,,,,
,,,J2153,,,,,,,,,,,,
,,,J2154,,,,,,,,,,,,
,,,J2155,,,,,,,,,,,,
603,ML,ML,J2156,MICROX,RUBAL,,P,614,,607,702,,,,Y
603,ML,ML,J2157,MICROX,RUBAL,,P,607,,,702,,,,Y
603,ML,ML,J2158,MICROX,RUBAL,,D,715,,609,,,crossed out p610,,Y
603,PD,ML,J2159,MICROX,RUBAL,BHGB,P,607,,,622,,,,Y
603,PD,ML,J2160,MICROX,RUBAL,GREEN FUZZY,t,609,,,,,,,Y
603,PD,ML,J2161,MICROX,RUBAL,GREEN FUZZY,t,609,,,,,,,Y
603,PD,ML,J2162,ORTHRU,VIBDI,,T,622,,607,,,PP613,,Y
603,PD,ML,J2163,ACHADI,PRUSE,,P,622,,Y,,,,,Y
603,PD,ML,J2164,ZALEXX,PRUSE,PHOTO,D,609,,607,,1,,728,Y
603,PD,ML,J2165,ZALEXX,PRUSE,PHOTO,D,621,,609,,1,,727,Y
603,PD,ML,J2166,ORTHRU,PRUSE,,P,622,,Y,,,,,Y
603,PD,ML,J2167,IRIDEP,PRUSE,PHOTO,p,617,,609,708,,,,Y
603,PD,ML,J2168,IRIDEP,PRUSE,,P,622,,Y,,,,,Y
603,PD,ML,J2169,ORTHRU,PRUSE,,P,622,ORTHXX,,,,,,Y
603,PD,ML,J2170,LITHXX,PRUSE,,P,819,,608,,,LPP 623,,Y
603,PD,ML,J2171,ACHADI,PRUSE,PHOTO; ID UNSURE,P,622,,Y,,1,,,Y
603,PD,ML,J2172,ORTHRU,PRUSE,,P,623,,Y,,,P DATE IS P DATE,,Y
603,PD,ML,J2173,MELACA,PRUSE,,P,607,,,,,,,Y
603,PD,ML,J2174,MELACA,PRUSE,,d,614,,608,,,,,Y
603,PD,ML,J2175,EUPSXX,PRUSE,,P,819,,609,,,LPP IS UNKN,,Y
603,ML,PD,J2176,LITHXX,AMECA,,d,607,,607,,,,,Y
603,ML,PD,J2177,EUPSXX,AMECA,,D,611,,Y,,,,,Y
603,ML,PD,J2178,ENNOSU,AMECA,HOST AND ID UNSURE,p,712,,609,714,,,,Y
603,ML,PD,J2179,EUPSXX,AMECA,,D,613,,Y,,,,,Y
,,,J2180,,,,,,,,,,,,
,,,J2181,,,,,,,,,,,,
,,,J2182,,,,,,,,,,,,
,,,J2183,,,,,,,,,,,,
,,,J2184,,,,,,,,,,,,
,,,J2185,,,,,,,,,,,,
,,,J2186,,,,,,,,,,,,
603,GA,KD; RG,J2187,ZALEXX,BERTH,,D,607,,N,,,,727,Y
,,,J2188,,,,,,,,,,,,
,,,J2189,,,,,,,,,,,,
,,,J2190,,,,,,,,,,,,
,,,J2191,,,,,,,,,,,,
,,,J2192,,,,,,,,,,,,
,,,J2193,,,,,,,,,,,,
,,,J2194,,,,,,,,,,,,
,,,J2195,,,,,,,,,,,,
,,,J2196,,,,,,,,,,,,
,,,J2197,,,,,,,,,,,,
,,,J2198,,,,,,,,,,,,
,,,J2199,,,,,,,,,,,,
,,,J2200,,,,,,,,,,,,
,,,J2201,,,,,,,,,,,,
,,,J2202,,,,,,,,,,,,
,,,J2203,,,,,,,,,,,,
,,,J2204,,,,,,,,,,,,
,,,J2205,,,,,,,,,,,,
,,,J2206,,,,,,,,,,,,
,,,J2207,,,,,,,,,,,,
,,,J2208,,,,,,,,,,,,
,,,J2209,,,,,,,,,,,,
,,,J2210,,,,,,,,,,,,
,,,J2211,,,,,,,,,,,,
,,,J2212,,,,,,,,,,,,
,,,J2213,,,,,,,,,,,,
,,,J2214,,,,,,,,,,,,
,,,J2215,,,,,,,,,,,,
,,,J2216,,,,,,,,,,,,
,,,J2217,,,,,,,,,,,,
603,RP,PD,J2218,AMPHPY,BERTH,,d,609,lithxx,,,,,,Y
603,RP,PD,J2219,ZALEXX,BERTH,,D,607,,N,,,FUNGUS,,Y
603,RP,PD,J2220,MIROX,BERTH,ORANGE HEAD;GREEN BODY,D,609,,N,,,,,Y
603,RP,PD,J2221,MICROX,BERTH,,D,903,,614,,,,,
,,,J2222,,,,,,,,,,,,
,,,J2223,,,,,,,,,,,,
,,,J2224,,,,,,,,,,,,
,,,J2225,,,,,,,,,,,,
,,,J2226,,,,,,,,,,,,
,,,J2227,,,,,,,,,,,,
,,,J2228,,,,,,,,,,,,
,,,J2229,,,,,,,,,,,,
,,,J2230,,,,,,,,,,,,
,,,J2231,,,,,,,,,,,,
,,,J2232,,,,,,,,,,,,
,,,J2233,,,,,,,,,,,,
,,,J2234,,,,,,,,,,,,
,,,J2235,,,,,,,,,,,,
,,,J2236,,,,,,,,,,,,
,,,J2237,,,,,,,,,,,,
,,,J2238,,,,,,,,,,,,
,,,J2239,,,,,,,,,,,,
,,,J2240,,,,,,,,,,,,
,,,J2241,,,,,,,,,,,,
,,,J2242,,,,,,,,,,,,
,,,J2243,,,,,,,,,,,,
,,,J2244,,,,,,,,,,,,
,,,J2245,,,,,,,,,,,,
,,,J2246,,,,,,,,,,,,
,,,J2247,,,,,,,,,,,,
,,,J2248,,,,,,,,,,,,
604,ML,ML,J2249,CORYME,BERTH,,d,618,,607,,,,,Y
604,ML,ML,J2250,MICROX,VIBLE,BHTB,T,614,,,,,,,Y
604,ML,ML,J2251,LAMBFI,VIBLE,,dead,613,,y,,,,,Y
604,ML,ML,J2252,ENNOSU,VIBLE,S; maybe PHIGST,P,613,IRIDEP,,622,1,,,Y
604,ML,ML,J2253,CROCNO,BERTH,,d,726,,,,,,,Y
604,ML,ML,J2254,EUPSXX,ROSMU,,P,819,,608,,,LPP 714,,Y
604,ML,ML,J2255,MICROX,LONMO,BHGB,p,614,,607,624,,choirostoneura roseana,,Y
