date,recorder,identifier,catNum,catSpecies,treeSpecies,fieldNotes,fate,fateDate,changeID,frass,emerged,photograph,rearingNotes,barcode,recorded.in.first.wave,ogCatSpecies,photoID,showDave,hostNative,hostFamily,Id help Notes,
610,DR,ML,J2565,GEOMXX,ROSMU,S,P,708,,Y,,,,NA,Y,GEOMXX,DAVEXX GEOMXX,yes,exotic,Rosaceae,EUPIXX,
615,ML,ML;PD;DR,J2676,PALTAN,PRUSE,,P,820,PALTAN,,118,1,,NA,,NOCTXX,DAVEXX NOCLUE,yes,native,Rosaceae,Generalist bark/fungi/leaf eater Zanclognatha or phalaenophana or chytolita,
621,SB,PD,J2902,CLADAT,LIGOB,,D,712,,,,1,TOID? BUT NO TOID,NA,Y,CLADAT,DAVEXX CLADAT,yes,exotic,Oleaceae,Same as J2565 EUPIXX or EUPIMI,
623,AO,RP,J3224,PROCLI,ROSMU,S,P,712,PROCLI,,727,1,,NA,Y,GEOMXX,DAVEXX PROCLI,yes,exotic,Rosaceae,Antipione or terraces or prochoroedes,
623,AO,RP,J3231,CAMPPE,MALXX,,P,820,CAMPPE,,118,1,,NA,,EUPIXX,DAVEXX HYPAUN,yes,exotic,Rosaceae,,
623,AO,RP,J3235,ENNOSU,ROSMU,S,P,705,ENNOSU,,,1,FAILED EMEGENCE,NA,Y,HYPAUN,DAVEXX NOT HYPAUN,yes,exotic,Rosaceae,ENNOMOS SUBSIGNARIA,
628,ML,ML,J3431,NOT ZALE,LONMO,S. UNSURE ON ZALE,D,702,NOT ZALE,N,,1,,NA,Y,ZALEXX,DAVEXX HERM,yes,exotic,Caprifoliaceae,,
628,ML,ML,J3433,UNKNXX,LONMO,S,D,704,,N,,1,,NA,Y,UNKNXX,DAVEXX HERM,yes,exotic,Caprifoliaceae,GENUS HYPAENA,hypaena scabra likely
628,ML,ML,J3434,NOT ZALE,LONMO,S,P,702,NOT ZALE,,714,1,,NA,Y,ZALEXX,DAVEXX HERM,yes,exotic,Caprifoliaceae,GENUS HYPAENA,hypaena scabra likely
629,ML,ML,J3485,PALEXX,ROSMU,,D,706,,,,1,,727,Y,PALEXX,DAVEXX HERM,yes,exotic,Rosaceae,,
701,PD,ML,K4019,MELACA,ROSMU,SNAP,D,705,,,,1,,NA,Y,MELACA,DAVEXX EUPIXX,yes,exotic,Rosaceae,,
701,PD,ML,K4021,GEOMXX,RUBXX,,P,831,,,,2,STARTED AGAIN WAS ON WRONG HOST,NA,,GEOMXX,DAVEXX UNKNXX,yes,native,Rosaceae,,
701,PD,ML,K4023,GEOMXX,FRAAM,SNAP,K,704,,Y,,1,lid kill,NA,Y,GEOMXX,DAVEXX GEOMXX,yes,native,Oleaceae,pero,
701,PD,ML,K4024,PROCLI,MALXX,SNAP,P,908,PROCLI,,,2,,NA,,GEOMXX,DAVEXX GEOMXX,yes,exotic,Rosaceae,Antipione or terraces or prochoroedes,
702,RP,ML/HW,K4082,GEOMXX,FRAAM,S,MIA,721,,,,2,,NA,Y,GEOMXX,DAVEXX PROTPO,yes,native,Oleaceae,protobormia,
707,PD,AO,K4187,GEOMXX,ROSMU,,T,718,,,,1,,NA,Y,GEOMXX,HYPAUN share w/dave,yes,exotic,Rosaceae,PRTOPO,
706,ML,ML;PD,K4224,PALTAN,MALXX,S,OW,205,PALTAN,,,1,,NA,,UNKNXX,DAVEXX MICROX,yes,exotic,Rosaceae,Zanclognatha or phalaenophana or chytolita,
706,ML,ML;PD,K4244,NOT LITHXX,FRAAM,,D,707,NOT LITHXX,,,1,not lithxx,NA,Y,LITHXX,DAVEXX HERM,yes,native,Oleaceae,unknown,
706,ML,ML;PD,K4245,PROTPO,BERTH,,D,725,PROTPO,,,1,almost certainly toid is noted; no toid has been found,NA,Y,GEOMXX,DAVEXX PROTPO,yes,exotic,InvasiveOutgroups,protpo,
713,KD,AO,K4297,MAYBE PSEUCY OR PALTAN,MALXX,ID UNSURE,D,806,MAYBE PSEUCY OR PALTAN,,,1,,NA,Y,MORRLA,DAVEXX MICROX,yes,exotic,Rosaceae,,
716,ML,ML,K4378,BUTTTX,PRUSE,"S; PROBABLY EREBEDAE, FUZZY, GREEN, BLACK PROLEGS",D,806,,,,1,,NA,Y,BUTTX,DAVEXX BUTTTX,yes,native,Rosaceae,,
715,ML,ML,K4451,UNKNXX,MALXX,EREBINAE? S,P,802,,N,,1,,NA,Y,UNKNXX,DAVEXX HERMXX,yes,exotic,Rosaceae,,
720,ML,ML,K4537,GEOMXX,ROSMU,,D,903,,,,1,MAYBE FAILED TOID OR FAILED PUPATION,NA,,GEOMXX,DAVEXX PROCLI,yes,exotic,Rosaceae,,
720,ML,ML,K4544,BUTTTX,PRUSE,S,D,730,,,,1,,NA,Y,BUTTTX,DAVEXX BUTTTX,yes,native,Rosaceae,,
721,ML,PD,K4568,GEOMXX,MALXX,S,P,920,,,,1,,NA,,GEOMXX,DAVEXX PROTPO,yes,exotic,Rosaceae,,
721,ML,PD,K4572,PROCLI,PRUSE,same as K4568; S,P,910,PROCLI,,,1,,NA,,GEOMXX,DAVEXX PROTPO,yes,native,Rosaceae,,
729,DR,ML,K4686,FOURLX,MALXX,,P,831,,,,1,,NA,,FOURLX,DAVEXX HERMXX,yes,exotic,Rosaceae,,
730,ML,MLPD,K4723,UNKNXX,ROSMU,S; SAME AS MORRLA FROM 729,D,827,UNKNXX,,,2,,NA,,NOCTXX,DAVEXX UNKXX,yes,exotic,Rosaceae,,
727,PD,"DR, HW, ML",K5032,FOURLX,VIBDI,ROSMU near beat area; S,D,803,,803,,1,,NA,Y,FOURLX,DAVEXX HERMXX,yes,exotic,Caprifoliaceae,,
