date,catNum,speciesCode,treeCode,pupalDate,weight,note
719,J2590,CROCNO,VIBDI,719,0.2164,
719,J3251,CROCNO,SAMCA,719,0.3189,
719,J2552,ORTHHI,PRUSE,621,0.2384,PUPAL DATE IS PP DATE
719,J2905,ORTHRU,VIBLE,624,0.1876,PUPAL DATE IS PP DATE
719,J2631,ORTHRU,VIBDE,623,0.1888,PUPAL DATE IS PP DATE
719,J2653,ORTHXX,VIBLE,623,0.0436,
719,J2841,ORTHRU,ROSMU,707,0.172,
719,J2568,ORTHRU,CRAXX,622,0.182,
719,J2270,ORTHRU,FRAAM,613,0.1857,
719,J2536,ORTHRU,VIBAC,617,0.1184,
719,J2410,CROCNO,VIBLE,712,0.3475,
719,J2074,ORTHXX,MALXX,622,0.1193,
719,J3169,ORTHHI,LIGOB,712,0.1804,
719,J2269,EUTRCL,FRAAM,630,0.329,PUPAL DATE IS PP DATE
719,J2530,ORTHRU,VIBAC,630,0.1286,
719,J3164,ORTHHI,PRUSE,712,0.1829,
719,J2169,ORTHXX,PRUSE,622,0.1253,
719,J2352,CROCNO,VIBAC,716,0.2811,
719,J2511,ORTHHI,ROSMU,702,0.2262,PUPAL DATE IS PP DATE
719,J2405,ORTHRU,BERTH,702,0.1496,
719,J3174,ORTHHI,ROSMU,714,0.2011,
719,J2009,ORTHRU,MALXX,617,0.1041,
719,J2172,ORTHRU,PRUSE,623,0.2695,PUPAL DATE IS PP DATE
719,J2135,ORTHXX,ROSMU,702,0.0818,
719,J2933,EUTRCL,VIBLE,705,0.453,PUPAL DATE IS PP DATE
719,J2267,ORTHRU,FRAAM,616,0.2068,
719,J2166,ORTHRU,PRUSE,622,0.305,
719,J2932,ORTHHI,LONMO,627,0.2034,PUPAL DATE IS PP DATE
719,J2683,ORTHRU,LIGVU,704,0.1869,PUPAL DATE IS PP DATE
719,J2812,ORTHHI,RUSE,712,0.2696,
719,J2784,ORTHHI,LONMO,712,0.1735,
719,J2263,ORTHRU,VIBAC,617,0.0477,
719,L44,CROCNO,FRAXX,719,0.2338,
719,L41,CROCNO,FRAXX,719,0.1955,
719,L37,CROCNO,FRAXX,719,0.2286,
719,L30,CROCNO,FRAXX,719,0.1922,
719,L31,CROCNO,FRAXX,706,0.2392,
722,J2565,GEOMXX,ROSMU,708,0.0119,
722,K4011,BISTBE,PRUSE,709,0.2527,
722,J2656,ZALEXX,VIBDE,712,0.264,
722,J2102,ACHADI,ROSMU,613,0.1169,PUPAL DATE IS PP DATE
722,K4164,FOURLX,BERTH,708,0.077,PUPAL DATE IS PP DATE
722,J3249,ZALEXX,VIBDE,715,0.2412,
722,J2163,ACHADI,PRUSE,622,0.0459,
722,J2103,EUPIXX,LIGVU,618,0.0094,
722,J2551,ENNOSU,PRUSE,623,0.1208,
722,K4008,IRIDLA,FRAAM,721,0.0741,
722,J2843,ECTRCR,ROSMU,719,0.0716,
722,J2358,PHIGTI,VIBDI,615,0.1258,PUPAL DATE IS PP DATE
722,J2343,EUPIMI,ROSMU,620,0.0126,
722,J2529,EUPISW,VIBAC,613,0.0153,PUPAL DATE IS PP DATE
722,J2063,LYMADI,MALXX,706,0.3873,
722,J2783,NOCTXX,LONMO,617,0.0204,
722,J2657,PALTAN,LONMO,,0.0234,NO PUPAL DATE
722,J2436,CLADAT,BERTH,613,0.0153,
722,J2678,ENNOSU,FRAMM,623,0.0779,PUPAL DATE IS PP DATE
722,J2040,ENNOSU,MALXX,609,0.0318,
722,J2661,EUPIXX,VIBAC,618,0.0145,
722,J2099,ACHADI,VIBLE,622,0.2419,
722,J2659,HIMEFI,FRAAM,622,0.1289,
722,J2591,HIMEFI,MALXX,618,0.1436,
722,J2171,ACHADI,PRUSE,622,0.0339,PUPA MAY BE DEAD
722,J2903,EUPIMI,LIGOB,624,0.0147,
722,J2501,EUPISW,VIBAC,614,0.0218,
722,J2168,IRIDEP,PRUSE,622,0.0378,
722,J3224,GEOMXX,ROSMU,712,0.1769,
