Number,Type,Family,Morphospecies,Notes,
J3272T,A,I,m1,Not a smooth horse head: line around neck and nose area (horsehead is in three sections). Line outlining snout is not fully closed. Black eyes. Short antennae with buldge closer to head ,
2040,A,I,m1,*see J3272T for notes,
1976,A,I,m1,*see J3272T for notes,
J2728,A,I,m1,*see J3272T for notes,
1977,A,I,m10,Horse head has flat nose and no tongue sticking out. Shape right above horse head is a halved oval. ,
J2137,P,T,m11,Has shruken in top of pupae. Top of pupae is wrinkled and a lighter color than the rest of the pupae. ,
J3244,P,T,m12,No horizontal wrinkles (smooth). Divets throughout outside shell. Looks like a smoother walnut. Lighter variation looks like a citrus juicer. ,
K4443,P,T,m12,*see J3244 for notes ,
J2276,P,T,m12,*see J3244 for notes ,
1234,P,T,m12,*see J3244 for notes ,
J2543,P,T,m12,*see J3244 for notes ,
1246,P,T,m12,*see J3244 for notes,
1099,P,T,m12,*see J3244 for notes. Featuring a fused catepillar to the side. ,
BH52731,P,T,m12,*see J3244 for notes ,
DJ31031,P,T,m12,*see J3244 for notes,
BW3081(2?),P,T,m12,*see J3244 for notes,
BN50231,P,T,m12,*see J3244 for notes,
CG32131,P,T,m12,*see J3244 for notes,
BH66731,P,T,m12,*see J3244 for notes,
J2160,P,T,m13,One end comes to plateau. Other rounded end has two little points. Has spots on the outside. ,
J2161,P,T,m13,*see J2160 for notes,
2150,P,T,m13,*see J2160 for notes,
J2357,P,W,m14,Completely smooth. Fuzzy outside. Golden highlights with overall dark color. ,
J2562T,A,I,m15,Looks like m1 but horsehead is complete. ,
1001,A,I,m15,*see J2562T for notes,
J3160,P,W,m16,Silky pill-shaped with discoloration (tanish/brown) on lower half of pupae. ,
J3031,P,W,m16,*see J3160 for notes ,
1265,P,W,m16,*see J3160 for notes ,
J2500,P,W,m16,*see J3160 for notes ,
J2318,P,W,m16,*see J3160 for notes ,
J2546,P,W,m16,*see J3160 for notes ,
CB52331,P,W,m16,*see J3160 for notes,
BH33034,P,W,m16,*see J3160 for notes,
BG35531,P,W,m16,*see J3160 for notes,
J2162,P,T,m17,Darker at caps of pupae. Grey creases running horizontally on the pupae. ,
1275,P,T,m17,*see notes for J2162. Just does not have grey creases on pupae,
J3117,P,T,m17,*see notes for J2162. Smoother than others in this morphospecies but still has horizontal creases running across pupae. (2/2),
BT32631,P,T,m17,*see notes for J2162. One end comes to a sort-of plateau but not enough to make it too different.,
DS68031,P,T,m17,*see notes for J2162,
1312,P,T,m17,*see notes for J2162,S
1215,P,T,m17,*see notes for J2162,
1007,P,T,m17,*see notes for J2162,
1104,P,T,m17,*see notes for J2162,
DW36731,P,T,m17,*see notes for J2162,
1200,P,T,m18,Smooth with subtle bumps. No fuzzy texture. One end comes to more of a point- towards that end there are two points that curve towards pointed end. ,
J2539,A,I,m19,Horse head is compleletly smooth and has tringular nose (45 degree angle). Long skinny abdomen. ,
J3603,A,I,m19,*see J2539 for notes,
J2718T,A,I,m2,Redcued wing veination. Large throax with short abdomen.,
J3591T,A,I,m2,*see J2718T notes,
2011,A,I,m2,*see J2718T for notes ,
2010,A,I,m2,*see J3272T for notes,
1250,A,I,m2,*see J3272T for notes,
1438,A,I,m2,*see J3272T for notes,
J3608,A,I,m2,*see J3272T for notes,
BF52331/BF52332,A,I,m2,*see J3272T for notes,
1421,A,I,m2,*see J3272T for notes,
2211,A,I,m2,*see J3272T for notes,
2231,A,I,m2,*see J3272T for notes,
2225,A,I,m2,*see J3272T for notes,
2201,A,I,m2,*see J3272T for notes,
2224,A,I,m2,*see J3272T for notes,
2243,A,I,m2,*see J3272T for notes,
1597,A,I,m2,*see J3272T for notes,
1953,A,I,m2,*see J3272T for notes,
2254,A,C,m2,*see J3272T for notes,
K4408,A,I,m2,*see J3272T for notes,
K4406,A,I,m2,*see J3272T for notes,
K4013,A,I,m2,*see J3272T for notes,
K4450,A,I,m2,*see J3272T for notes,
J3027,A,I,m2,*see J3272T for notes,
J2727,A,I,m2,*see J3272T for notes,
FG36725,A,I,m2,Nola Silk Black ,
BR65024,A,I,m2,,
CG32521,A,I,m2,,
BH37124,A,I,m2,,
CA39621,A,I,m2,,
BH37122,A,I,m2,,
DL31821,A,I,m2,,
BH54722,A,I,m2,,
BR74722,A,I,m2,,
BG52321,A,I,m2,,
BT54721,A,I,m2,,
BY36427,A,I,m2,,
BC65021,A,I,m2,,
BH66721,A,I,m2,,
CS52321,A,I,m2,,
BT32622,A,I,m2,,
CB31721,A,I,m2,,
FG36728,A,I,m2,,
BH37125,A,I,m2,,
BX50221,A,I,m2,,
CC32721,A,I,m2,,
BQ67921,A,I,m2,,
DD34822,A,I,m2,,
CA68012,A,I,m2,,
K4684,A,I,m20,Horse head has rounded nose. Very small head and a line where the neck is. Black body with yellow legs. ,
K4436,A,I,m20,*see K4684 for notes,
1850,A,I,m20,*see K4684 for notes,
1414,A,I,m20,*see K4684 for notes. All specimens in this vial are degraded. ,
2200,A,I,m20,*see K4684 for notes,
J2271,A,I,m20,*see K4684 for notes,
J2499,A,I,m20,*see K4684 for notes,
J2138,A,I,m20,*see K4684 for notes,
K4187,P,T,m21,Both ends are rounded- one end has two little points on it. End with the points buldges out a little (not a perfect pill-shape).,
1975,P,T,m21,"For smaller, lighter pupae: *see K4187 for notes (2/2)",
J2660,P,T,m21,*see K4187 for notes ,
1048,P,T,m21,*see K4187 for notes,
K5002,P,W,m22,Transparent with large brown/black species towards the bottom. Fuzzy outside but thinner shaped than m16. ,
K4630,A,I,m23,Long nose (almost the same size as the head). Horse head cut in three divisions. Reduced veination to the left of the horse head. Abdomen is a gradient- very long and skinny.,
1975,P,T,m24,For bigger pupae: One end has two little points (looks like horns). Other end is rounded but has small protrusion.  (1/2),
J3605T,A,C,m25,*see 1210 for notes,
1210,A,C,m25,Flat head. 7 segments on antennae. No wing veination. Dark hourglass shape with rounded triangle thorax. Hind legs have spikes coming off. ,
1353,A,C,m25,*see 1210 for notes ,
CS55931,A,C,m25,*see 1210 for notes ,
BP32231,A,C,m25,*see 1210 for notes ,
1310,A,C,m25,*see 1210 for notes,
1358,A,C,m25,*see 1210 for notes ,
