dateInitialWeight,catNum,initialWeight,finalWeight,frassWeight,weirdFinal,aged,notes
608,J2311,0.0466,,,,,
608,J2312,0.0064,,,,,
608,J2316,0.0134,,,,,
608,J2317,0.081,0.1392,0.1251,,,
608,J2318,0.0851,,,,,
608,J2319,0.3131,0.1321,0.1338,dead,,
608,J2320,0.0009,,,,,
608,J2321,0.0103,0.0761,0.0614,,,
608,J2322,0.0071,0.02,0.0177,,,
608,J2323,0.0436,0.1069,0.1057,,,
608,J2324,0.0068,0.0185,0.0203,,,
608,J2325,0.0081,,,,,
608,J2326,0.1669,0.1868,0.1603,,,
608,J2342,0.0075,0.0126,0.0146,,,
608,J2343,0.0158,,,,,
608,J2344,0.0319,0.0555,0.0619,,,
608,J2347,0.0083,,,,,
608,J2349,0.0101,,,,,
608,J2351,0.0058,,,,,
608,J2352,0.0042,0.027,0.0224,,,
608,J2353,0.3253,0.2163,0.1519,pp,,
608,J2354,0.0931,0.1912,0.1412,,,
608,J2355,0.0404,0.0181,0.0131,DEAD,,
608,J2356,0.0103,,,,,
608,J2357,0.0764,,,,,
608,J2358,0.1756,0.1856,0.3263,pp,,
608,J2359,0.0066,,,,,
608,J2360,0.0116,,,,,
609,J2373,0.1441,0.3851,0.5655,,,
609,J2374,0.1773,0.1922,0.2209,pp,,
609,J2375,0.0037,,,,,
609,J2376,0.0116,,,,,
609,J2377,0.0117,0.0151,0.0139,,,
609,J2404,0.0185,0.0283,0.0214,,,
609,J2405,0.1509,0.2184,0.1763,,,
609,J2408,0.0911,0.1252,0.0855,,,
609,J2410,0.0294,0.1074,0.0828,,,
609,J2411,0.1636,0.2704,0.2418,,,
609,J2435,0.0018,0.001,0.0004,small,,
609,J2436,0.0198,,,,,
609,J2437,0.01,0.0261,0.0165,,,
609,J2438,0.0053,,,,,
609,J2439,0.0149,0.0064,0.0003,dead,,
609,J2440,0.0028,,,,,
609,J2442,0.0028,0.0019,0.002,dead,,
609,J2443,0.0058,0.0024,0,dead,,
611,J2001,0.0177,0.0337,0.0329,,,
611,J2004,0.1738,0.3108,0.3346,,,
611,J2005,0.1341,,,,,
611,J2008,0.0547,0.0369,0.0186,DEAD,,
611,J2010,0.3425,,,,,
611,J2012,0.497,,,,,
611,J2016,0.532,0.0181,0.0094,,,
611,J2032,0.0181,,,,,
611,J2033,0.867,0.1706,0.1563,,,
611,J2034,0.1557,0.5037,0.4435,,,
611,J2037,0.0043,,,,,
611,J2063,0.0671,0.1049,0.1234,,,
611,J2066,0.0131,,,,,
611,J2069,0.0318,0.0417,0.0436,,,
611,J2071,0.159,0.0187,0.0268,,,
611,J2074,0.2518,0.123,0.292,PP,,
611,J2075,0.011,0.0099,0.018,NEAR DEATH,,
611,J2095,0.0552,0.0921,0.1648,,,
611,J2097,0.076,0.0677,0.0731,,,
611,J2099,0.297,0.3179,0.4322,PP,,
611,J2100,0.675,,,,,
611,J2102,0.359,,,,,
611,J2103,0.0178,0.0156,0.0311,P,,
611,J2125,0.0616,0.0688,0.0514,,,
611,J2126,0.1425,0.1733,0.274,,,
611,J2127,0.0432,,,,,
611,J2130,0.0704,,,,,
611,J2132,0.0067,0.014,0.0275,,,
611,J2134,0.0038,0.0061,0.0129,,,
611,J2135,0.1554,0.2108,0.1326,,,
611,J2136,0.1049,0.2456,0.2415,,,
611,J2137,0.0097,0.0246,0.0154,,,
611,J2162,0.2902,,,,,
611,J2163,0.2265,,,,,
611,J2165,0.0299,0.018,0.0075,,,
611,J2166,0.1325,0.3552,0.4907,PP,,
611,J2167,0.0494,,,,,
611,J2168,0.0928,,,,,
611,J2169,0.2368,,,,,
611,J2170,0.1435,0.2997,0.3166,PP,,
611,J2172,0.0746,0.2698,0.1476,,,
611,J2175,0.0989,0.3528,0.4391,,,
611,J2177,0.0315,,,,,
611,J2178,0.0468,0.1,0.0548,,,
611,J2179,0.315,,,,,
611,J2249,0.0203,,,,,
611,J2251,0.0011,,,,,
611,J2253,0.0126,0.0318,0.0251,,,
611,J2259,0.0064,,,,,
611,J2260,0.0111,,,,,
611,J2263,0.3334,,,,,
611,J2266,0.0314,0.0719,0.0802,,,
611,J2270,0.227,,,,,
611,J2275,0.249,0.2646,0.1496,,,
611,J2280,0.0052,0.0103,0.0072,,,
611,J2281,0.0058,0.0063,0.0087,,,
611,J2346,0.0627,,,,,
611,J2500,0.0745,,,,,
611,J2502,0.0046,0.0039,0.0005,,,
611,J2503,0.0095,0.033,0.0337,,,
611,J2506,0.1626,,,,,
611,J2507,0.0189,0.0229,0.011,,,
611,J2511,0.1889,0.3077,0.2412,,,
611,J2512,0.0044,0.0162,0.01,,,
611,J2513,0.107,,,,,
611,J2528,0.0445,0.0813,0.0587,,,
611,J2529,0.0201,,,,,
611,J2536,0.31,,,,,
611,J2538,0.0958,0.2351,0.1532,,,
611,J2541,0.232,,,,,
611,J2542,0.1065,,,,,
611,J2543,0.0135,,,,,
611,J2546,0.0241,,,,,
611,J2547,0.0159,0.0468,0.0444,,,
611,J2548,0.0014,,,,Y,
611,J2549,0.0423,0.198,0.1084,,,
611,J2550,0.1239,0.2091,0.2445,,,
611,J2551,0.0191,0.2073,0.2811,,,
611,J2552,0.0608,0.3446,0.314,,,
611,J2559,0.0049,0.0123,0.0114,,,
611,J2561,0.0087,,,,,
611,J2562,0.1461,,,,,
611,J2563,0.127,0.1834,0.0673,,,
611,J2564,0.0182,,,,,
611,J2567,0.0008,,,,,
611,J2568,0.2873,0.3273,0.5833,,,
611,M9025,0.2771,0.377,0.6567,,,
614,J2009,0.2522,,,,,
614,J2076,0.0764,0.0767,0.076,,,
614,J2104,0.0489,0.1794,0.1371,,,
614,J2171,0.1747,,,,,
614,J2254,0.1915,0.4125,0.3627,,,
614,J2267,0.2621,,,,,
614,J2269,0.1351,0.3471,0.2678,,,
614,J2343,0.0155,,,,,
614,J2590,0.0604,0.1726,0.1354,,,
614,J2591,0.2605,,,,,
614,J2593,0.3067,,,,,
614,J2594,0.0361,0.0864,0.0758,,,
614,J2595,0.0016,,,,,
614,J2596,0.0045,0.028,0.0215,,,
614,J2597,0.0019,,,,,
614,J2599,0.0009,0.0051,0.0113,,,
614,J2603,0.018,,,,,
614,J2609,0.0034,0.0181,0.0176,,,
614,J2616,0.0012,0.0288,0.0168,,,
614,J2617,0.0019,0.0152,0.0077,,,
614,J2623,0.2222,0.2648,0.2693,pp,,maybe not pp? right on the cusp
614,J2631,0.1964,0.2702,0.5120,,,
616,J2656,0.0080,0.0154,0.0144,,,
616,J2658,0.0489,0.1088,0.0742,,,
616,J2678,0.091,.1006,.1126,PP,,
616,J2657,0.0156,.0177,.0168,,,
616,J2683,0.2116,.3616,.5950,,,
616,J2653,0.2592,,,,,
616,J2680,0.062,.0850,.0421,,,
616,J2677,0.0015,,,,y,
616,J2659,0.248,,,,,
616,J2682,0.006,.0077,.0050,,,
616,J2660,0.0596,0.0773,0.0782,,,
616,J2679,0.046,.0852,.0640,,,
616,J2675,0.0009,,,,y,
616,J2661,0.0207,,,,,
616,J2676,0.002,,,,y,
616,J2681,0.0176,.0546,.0419,,,
617,J2754,0.0402,0.0309,0.0272,,,
617,J2752,0.0202,0.0235,0.0237,,,
617,J2761,0.1196,,,,,
617,J2723,0.0352,0.0544,0.0376,,,
617,J2728,0.0108,,,,,
617,J2720,0.0349,0.1083,0.0786,,,
617,J2750,0.1079,,,,,
617,J2748,0.0147,0.0344,0.0413,,,
617,J2755,0.0355,,,,,
617,J2757,0.0147,,,,,
617,J2718,0.0079,0.0063,0.0091,,,
617,J2716,0.0313,0.0633,0.0755,,,
617,J2719,0.0138,,,,,
617,J2758,0.0459,0.0769,0.067,,,
617,J2759,0.3875,,,,,
617,J2749,0.1328,0.2578,0.269,,,
617,J2717,0.0121,,,,,
618,J3186,0.0032,0.0253,0.0319,,,
618,J3183,0.0125,0.0030,0.0046,,,
618,J3185,0.0069,,,,,
618,J2815,0.0135,0.0089,0.0373,,,
618,J2807,0.0337,,,,,
618,J2784,0.0785,,,,,
618,J2814,0.0218,0.0670,0.0568,,,
618,J2813,0.0529,.1917,.2960,,,
618,J2788,0.0469,0.0634,0.0604,,,
618,J3179,0.013,0.0326,0.0546,,,
618,J2819,0.0797,0.0357,0.0760,dead,,
618,J2820,0.0072,0.1672,0.2147,pp,,
618,J2817,0.0225,0.0993,0.1040,,,
618,J3184,0.1363,,,,,
618,J2812,0.0441,0.3915,0.4552,,,
618,J2821,0.0024,,,,,
618,J2781,0.0691,0.0238,0.0008,dead,,
618,J2816,0.0207,,,,,
621,J2844,0.0053,0.0026,0.0011,,,
621,J2848,0.0593,0.1046,0.1033,,,
621,J2841,0.2647,0.1871,0.2251,pp,,
621,J2874,0.0109,,,,,
621,J2873,0.0329,,,,,
621,J2880,0.0453,0.1183,0.1082,,,
621,J2877,0.0711,0.1375,0.1382,,,
621,J2843,0.0398,0.0900,0.1050,,,
621,J2846,0.0247,,,,,
621,J2842,0.0186,0.0383,0.0498,,,
621,J2875,0.0065,0.0237,0.0302,,,
621,J2840,0.0816,,,,,
621,J2839,0.0629,,,,,
622,J2938,0.1276,0.215,0.1705,,,
622,J2905,0.2876,,,,,
622,J2934,0.0733,0.1242,0.1028,P,,
622,J2901,0.0492,0.0762,0.0828,,,
622,J2909,0.0051,0.0142,0.0135,,,
622,J2915,0.2399,,,,,
622,J2919,0.1064,,,,,
622,J2912,0.0345,0.0806,0.072,,,
622,J2903,0.0222,,,,,
622,J2933,0.0532,0.361,0.305,,,
622,J2993,0.0177,0.0179,0.0155,,,
622,J2921,0.0455,0.0884,0.1132,,,
622,J2932,0.2629,0.2266,0.2098,PP,,
622,J2917,0.0053,,,,,
622,J2914,0.0306,,,,,
623,J2878,0.0123,0.0298,0.0274,,,
623,J3034,0.0221,0.0979,0.1291,,,
623,J3037,0.2740,0.3541,0.1984,,,
623,J2963,0.0859,0.1190,0.0446,,,
623,J3024,0.0141,0.0312,0.0344,,,
623,J3029,0.0355,0.0699,0.2142,,,
623,J3035,0.0189,0.1051,0.1086,,,
623,J3030,0.0125,0.0738,0.0603,,,
623,J3031,0.0769,,,,,
623,J2966,0.0116,0.0954,0.0747,,,
623,J3025,0.0473,,,,,
623,J2962,0.0786,,,,,
624,J3133,0.046,.0652,.0620,,,
624,J3138,0.0634,.1473,.1512,,,
624,J3123,0.055,,,,,
624,J3224,0.1364,.2587,.1908,,,
624,J3169,0.3075,.2203,.2653,pp,,
624,J3134,0.0158,.0304,.0252,,,
624,J3170,0.05,,,,,
624,J3234,0.0411,.0684,.0711,,,
624,J3153,0.0473,.0944,.0493,,,
624,J3175,0.0426,.0696,.0438,,,
624,J3226,0.0117,,,,,
624,J3164,0.1674,.3525,.4105,,,
624,J3132,0.016,0.0177,0.0095,,,
624,J3118,0.0099,.0405,.0274,,,
624,J3213,0.0096,.0347,.0332,,,
624,J3151,0.0523,.1054,.0607,,,
624,J3168,0.051,.1332,.1284,,,
624,J3166,0.0216,.0727,.0434,,,
624,J3152,0.072,.1233,.0906,,,
624,J3174,0.2249,,,,,
624,J3235,0.1628,.1816,.1765,pp,,
624,J3173,0.0226,.3700,.5418,,,initial weight accurate?
624,J3160,0.0525,,,,,
624,J3225,0.1219,.1959,.1833,,,
624,J3156,0.0298,.0357,.0340,,,
624,J3148,0.0845,,,,,
624,J3223,0.1296,,,,,
624,J3154,0.0646,0.1348,.0884,,,
625,J3277,0.024,0.0269,0.018,,,
625,J3165,0.0104,0.0348,0.0192,PP,,
625,J3136,0.0593,0.0692,0.0945,,,
625,J3280,0.0095,0.0112,0.0164,,,
625,J3252,0.0167,,,,,
625,J3272,0.0346,0.0655,0.1023,,,
625,J3251,0.0621,0.2424,0.1431,,,
625,J3275,0.0525,0.0322,0.0047,PUPAL,,
625,J3248,0.0132,0.1047,0.0653,,,
625,J3249,0.0149,0.1167,0.0729,,,
629,J3212,0.0184,0.0315,0.0403,,,
629,J3129,0.0024,,,,,
629,J3431,0.0088,,,,,
629,J3231,0.0022,0.0052,0.0075,,,
629,J3147,0.0109,0.0191,0.0324,,,
629,J3448,0.0522,0.1806,0.1356,,,
