ImageName,Ichneumoninae,Chalcidoidea,Proctophoridae,Tachinidae,Non-Tachinid flies,Others,Notes
BE01_Y,1,1,4,0,0,0,
BE01B_W,0,0,0,0,0,1,
BE01B_Y,1,0,1,0,0,0,
BE01C_Y,0,3,6,0,0,0,
BE02_W,0,0,0,1,0,0,
BE02_Y,3,0,0,0,0,0,
BE02B_B,0,0,1,0,0,0,no side vision 
BE02B_W,0,1,0,0,1,0,
BE02B_Y,0,0,0,0,1,0,all fragments
BE02C_Y,1,0,1,0,0,0,
BM01_B,0,0,0,0,0,0,all fragments
BM01_W,0,0,0,2,0,0,
BM01_Y,0,0,0,0,1,0,only a head
BM01B_B,1,0,0,0,0,0,only a part
BM01B_W,0,0,0,0,0,1,no wings
BM01B_Y_01,0,1,0,1,0,1,
BM01B_Y_02,0,0,0,0,6,0,
BM01C_B,1,0,0,0,0,0,
BM01C_Y,0,0,0,0,4,0,only head
BM02B_B,0,0,0,0,1,0,no wings
BM02B_W,0,0,0,0,1,0,only a head
BM02B_Y,0,0,0,0,2,0,all fragments
BM02C_W,1,0,0,0,1,0,no wings
BM02C_Y,0,0,0,0,10,0,only some heads
BM03_B,1,0,0,0,0,0,no wings
BM03_W,0,0,0,0,1,0,
BM03_Y,0,0,0,0,1,0,
BM03C_Y,0,0,0,0,1,0,
BS01_Y,1,0,0,0,0,0,
BS01B_W.1,0,0,0,3,2,0,
BS01B_W.2,3,0,0,1,0,0,
BS01B_Y,2,2,1,0,0,0,
BS01C_B,0,0,0,0,2,0,
BS01C_Y,0,1,0,0,0,0,
BS02_B,0,2,0,0,0,0,
BS02_Y.1,0,0,0,4,0,0,
BS02_Y.2,1,0,0,2,0,0,
BS02B_W,0,2,0,0,0,0,
BS02B_Y,1,1,0,1,0,0,some fragments
BS02C_B,1,0,0,0,0,0,only a wing
BS02C_W,0,0,0,0,1,0,not clearly
BS02C_Y,1,0,0,0,0,0,only a wing
BS03_B,0,1,0,2,0,0,
BS03_Y,1,1,0,0,0,0,not clearly
BS03B_W,1,1,0,0,0,0,there have another piece of wing
BS03B_Y,0,0,3,0,4,0,
BS03C_B,0,0,0,0,1,0,not clearly
BS03C_Y.1,1,0,0,1,0,0,
BS03C_Y.2,0,1,1,0,1,0,
BS03C_Y_01,0,1,1,0,1,0,
BS03C_Y_02,0,0,0,2,0,0,
BS03C_Y_03,1,0,0,1,0,0,
BS03C_Y_04,0,0,4,2,0,0,
BS03C_Y_05,1,1,0,0,1,0,
BS03C_Y_06,0,0,0,2,0,0,
BS03C_Y_07,0,0,0,1,0,0,
BS03C_Y_08,1,0,0,2,0,0,
BS03C_Y_09,0,0,0,2,0,0,
BT01B_Y,2,0,3,0,0,1,
BT01C_B,0,1,0,0,0,0,
BT01C_Y,1,0,2,0,0,0,
BT02B_W,0,0,0,1,0,0,
BT02B_Y.2,1,1,0,0,0,0,
BT02B_Y,1,1,1,0,0,0,
BT02C_Y,2,1,4,0,0,0,
BT03B_B,0,0,0,0,0,1,
BT03B_W,0,0,0,0,4,0,
BT03B_Y_01,0,0,1,0,0,2,not clearly
BT03B_Y_02,1,0,0,0,0,0,
BT03B_Y_03,1,0,1,0,0,0,
BT03C_W,0,0,2,0,6,0,some fragments
BT03C_Y,0,0,7,0,1,2,
CF01_B,0,1,0,0,0,0,some fragments
CF01_W,1,0,0,0,0,0,only half part
CF01_Y,2,0,0,0,0,0,
CF01B_W,2,0,0,0,0,3,some fragments
CF01B_Y,1,0,0,0,0,0,
CF02_B,0,0,0,4,0,0,
CF02_W,0,0,0,2,0,0,
CF02_Y,0,0,0,2,0,0,
CF02B_B,0,0,1,0,0,1,
CF02C_W,1,0,0,0,0,1,not sure
CF02C_Y,0,0,0,1,0,0,
CF03_B,1,0,0,0,0,0,
CF03_B_01,0,0,0,0,3,0,some fregements
CF03_B_02,0,0,0,4,0,0,some fregements
CF03_B_03,3,0,0,0,0,0,
CF03_Y,1,1,0,0,0,0,not sure
CF03B_B,3,1,0,0,1,1,not clearly
CF03C_Y,3,1,0,0,0,0,
CFO2B_Y,1,0,0,0,3,0,only 3 heads
NF01_Y,0,0,0,0,1,0,
NF01B_W,1,0,0,0,0,0,
NF01B_Y.1,1,0,0,0,0,0,
NF01B_Y.2,1,0,0,0,0,0,
NF01B_Y.3,1,0,0,0,0,0,
NF01C_B,0,1,0,0,0,0,
NF02_W,0,0,0,1,0,0,
NF02_Y,0,0,0,1,0,0,
NF02C_Y,0,1,0,0,0,0,
NF03_B,1,0,0,0,0,0,
NF03_W,1,0,0,0,0,0,
NF03_Y,0,0,2,0,0,0,
NF03B_W,0,0,0,0,0,1,
NF03B_Y,0,1,0,0,0,1,
NF03C_Y,1,0,1,0,0,0,
NF04_W,1,1,0,0,0,0,
NF04B_B,1,0,0,0,0,0,
NF04B_W,0,0,0,1,0,0,
NF04B_Y_01,0,0,0,2,0,0,
NF04B_Y_02,0,0,0,1,1,1,
NF04B_Y_03,0,0,0,2,0,0,
