trap,date,treeID,cover
PL01,603,PRUSE,20
PL01,603,ELEAN,60
PL01,603,CARCA,5
PL01,603,BERTH,2
PL01,603,ROSMU,2
PL01,603,CELOR,2
PL02,603,AMEXX,30
PL02,603,CARCA,80
PL02,603,PRUSE,3
PL03,603,MALPR,30
PL03,603,CELOR,5
PL03,603,BERTH,1
PL03,603,ROSMU,1
PL03,603,PARQU,1
PL03,603,EUOAL,1
PL04,603,ROSMU,25
PL04,603,LIGOB,20
PL04,603,CELOR,5
PL04,603,EUOAL,2
PL05,603,VIBDI,20
PL05,603,ELEAN,20
PL05,603,BERTH,20
PL06,603,RUBXX,40
PL06,603,ROSMU,3
PL06,603,CARYA,5
PL06,603,CARCA,15
PL06,603,TOXRA,10
BE01,603,CRAXX,5
BE01,603,AMEXX,5
BE01,603,VIBAC,3
BE01,603,QUEAL,2
BE01,603,PRUSE,1
BE01,603,CARCA,1
BE01,603,VACCO,1
BE02,603,CARCA,20
BE02,603,PRUSE,10
BE02,603,AMEXX,10
BE02,603,RUBXX,10
BE02,603,ACERU,10
BE02,603,PINST,5
BE02,603,VIBAC,3
PL07,603,PRUSE,70
PL07,603,TSUCA,5
PL07,603,PARQU,2
PL08,603,ROSMU,85
PL08,603,TSUCA,5
PL08,603,VITAL,1
PL09,603,MALPR,70
PL09,603,VITAL,1
NF01,608,MALFL,30
NF01,608,ACESA,1
NF01,608,LIGOB,3
NF01,608,FRAAM,1
NF01,608,ROSMU,1
NF01,608,FAGGR,1
NF02,608,ROSMU,40
NF02,608,BERTH,10
NF02,608,LINBE,5
NF02,608,FRAAM,1
NF02,608,CELOR,1
NF02,608,MALFL,2
NF02,608,TOXRA,1
NF03,608,VIBAC,10
NF03,608,LIGOB,8
NF03,608,CARCA,5
NF03,608,MALFL,3
NF03,608,LINBE,3
NF03,608,QUEAL,1
NF03,608,ULMRU,1
NF03,608,BERTH,1
NF03,608,FRAAM,1
NF03,608,CORSA,1
NF03,608,TOXRA,1
NF03,608,ACESA,1
NF04,608,MALFL,40
NF04,608,BERTH,1
NF04,608,PARQU,3
NF04,608,CELOR,1
NF04,608,RUBXX,1
NF04,608,ROSMU,5
NF04,608,FRAAM,1
NF04,608,ACESA,1
