name,Family,captured,exotic,native
Oreta rosea,Drepanidae,11,0,11
Pseudothyatira cymatophoroides,Drepanidae,8,6,2
Zale lunata,Erebidae,45,17,28
Zale horrida,Erebidae,22,8,14
Hypena scadens,Erebidae,17,13,4
Pyrrharctia isabella,Erebidae,6,5,1
Orgyia leucostigma,Erebidae,4,1,3
Catocala ultronia,Erebidae,2,1,1
Hypena baltimoralis,Erebidae,1,1,0
Spilosoma virginica,Erebidae,1,1,0
Lomographa vestaliata,Geometridae,132,64,68
Hypagritis unipunctata,Geometridae,130,69,61
Melanolophia canadaria,Geometridae,120,56,64
Eupithecia sweatii,Geometridae,70,48,22
Eupithecia miserulata,Geometridae,49,42,7
Protoboarmia porcelaria,Geometridae,42,25,17
Prochoerodes lineola,Geometridae,30,20,10
Rheumaptera prunivorata,Geometridae,29,0,29
Campaea perlata,Geometridae,25,15,10
Ennomos subsignaria,Geometridae,25,11,14
Lambdina fiscellaria,Geometridae,20,13,7
Mesoluca rucifilata,Geometridae,19,4,15
Eutrapela clementaria,Geometridae,12,4,8
Ectropis crepuscularia,Geometridae,8,5,3
Biston betularia,Geometridae,7,4,3
Nematocampa resistaria,Geometridae,7,4,3
Paleacrita vernata,Geometridae,6,4,2
Iridopsis ephyraria,Geometridae,5,3,2
Iridopsis larvaria,Geometridae,4,2,2
Antepione thisoaria,Geometridae,2,2,0
Lomographa semiclarata,Geometridae,2,0,2
Phigalia strigataria,Geometridae,2,2,0
Cladara atroliturata,Geometridae,1,1,0
Metarranthis hypochraria,Geometridae,1,1,0
Pero ancetaria,Geometridae,1,0,1
Synchlora aerata,Geometridae,1,1,0
Zanclognatha cruralis,Herminiinae,2,1,1
Natada nasoni,Limacodidae,3,0,3
Phobetron pithecium,Limacodidae,1,0,1
Orthosia rubescens,Noctuidae,103,59,44
Crocigrapha normani,Noctuidae,52,39,13
Lithophane spp.,Noctuidae,46,33,13
Palthis angulalis,Noctuidae,33,30,3
Himela fidelis,Noctuidae,31,20,11
Morrisonia latex,Noctuidae,24,15,9
Morrisonia confusa,Noctuidae,22,16,6
Eupsilia spp.,Noctuidae,16,9,7
Acronicta superans,Noctuidae,15,11,4
Achatia distincta,Noctuidae,12,8,4
Elaphria versicolor,Noctuidae,11,6,5
Cerma cerintha,Noctuidae,5,0,5
Acronicta hasta,Noctuidae,1,0,1
Acronicta interupta,Noctuidae,1,0,1
Amphipyra pyramidoides,Noctuidae,1,0,1
Scizura unicornis,Notodontidae,10,5,5
Heterocampa guttivitta,Notodontidae,3,1,2
Furcula borealis,Notodontidae,2,0,2
Papilio glaucus,Papilionidae,6,0,6
Geina bucksi,Pterophoridae,24,0,24
Hyalophora cecropia,Saturniidae,1,0,1
Hemaris thysbe,Sphingidae,7,0,7
Paonias excaecatus,Sphingidae,2,0,2
Ceratomia undulosa,Sphingidae,1,0,1
Darapsa choerilus,Sphingidae,1,0,1
Calledapteryx dryopterata,Uraniidae,8,0,8
Microlepidoptera spp.,,273,124,149
