Var1,exotic,native
ACHADI,8,4
ACROHA,0,1
ACROIN,0,1
ACROSU,11,4
AMPHPY,0,1
ANTETH,2,0
BISTBE,4,3
CALLDR,0,8
CAMPPE,15,10
CATOUL,1,1
CERAUN,0,1
CERMCE,0,5
CLADAT,1,0
CROCNO,39,13
DARACH,0,1
ECTRCR,5,3
ELAPVE,6,5
ENNOSU,11,14
EUPIMI,42,7
EUPISW,48,22
EUPSXX,9,7
EUTRCL,4,8
FURCBO,0,2
GEINBU,0,24
HEMATH,0,7
HETEGU,1,2
HIMEFI,20,11
HYALCE,0,1
HYPAUN,69,61
HYPEBA,1,0
HYPESC,13,4
IRIDEP,3,2
IRIDLA,2,2
LAMBFI,13,7
LITHXX,33,13
LOMOSE,0,2
LOMOVE,64,68
MELACA,56,64
MESORU,4,15
METAHY,1,0
MICROX,124,149
MORRCO,16,6
MORRLA,15,9
NATANA,0,3
NEMARE,4,3
ORETRO,0,11
ORGYLE,1,3
ORTHRU,59,44
PALEVE,4,2
PALTAN,30,3
PAONEX,0,2
PAPIGL,0,6
PEROAN,0,1
PHIGTI,2,0
PHOBPI,0,1
PROCLI,20,10
PROTPO,25,17
PSEUCY,6,2
PYRRIS,5,1
RHEUPR,0,29
SCHIUN,5,5
SPILVI,1,0
SYNCAE,1,0
ZALEHO,8,14
ZALEXX,17,28
ZANCXX,1,1
